#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
 file_input_raw|                              b1|  1.64e+07  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.94787831|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.44744611|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.62165512|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.16197572|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.65520519|  PASSED  
        diehard_opso|   0|   2097152|     100|0.59737346|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.82563953|  PASSED  
         diehard_dna|   0|   2097152|     100|0.82828890|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.26931753|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.94106582|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.77403241|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.17683243|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.98974773|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.85144629|  PASSED  
        diehard_sums|   0|       100|     100|0.11780845|  PASSED  
        diehard_runs|   0|    100000|     100|0.94492433|  PASSED  
        diehard_runs|   0|    100000|     100|0.37421186|  PASSED  
       diehard_craps|   0|    200000|     100|0.76272832|  PASSED  
       diehard_craps|   0|    200000|     100|0.43786028|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.00000993|   WEAK   
 marsaglia_tsang_gcd|   0|  10000000|     100|0.03221611|  PASSED  
         sts_monobit|   1|    100000|     100|0.62564092|  PASSED  
            sts_runs|   2|    100000|     100|0.51518346|  PASSED  
          sts_serial|   1|    100000|     100|0.97992102|  PASSED  
          sts_serial|   2|    100000|     100|0.27956957|  PASSED  
          sts_serial|   3|    100000|     100|0.19636087|  PASSED  
          sts_serial|   3|    100000|     100|0.39343065|  PASSED  
          sts_serial|   4|    100000|     100|0.81543158|  PASSED  
          sts_serial|   4|    100000|     100|0.17973968|  PASSED  
          sts_serial|   5|    100000|     100|0.32017469|  PASSED  
