#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
 file_input_raw|                          testb3|  1.63e+07  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.39414952|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.32921637|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.61926257|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.78051578|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.93445471|  PASSED  
        diehard_opso|   0|   2097152|     100|0.26933996|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.25573351|  PASSED  
         diehard_dna|   0|   2097152|     100|0.03405693|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.89855224|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.17234265|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.46927986|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.60715125|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.78240467|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.91475432|  PASSED  
        diehard_sums|   0|       100|     100|0.19738750|  PASSED  
        diehard_runs|   0|    100000|     100|0.62793280|  PASSED  
        diehard_runs|   0|    100000|     100|0.46597105|  PASSED  
       diehard_craps|   0|    200000|     100|0.75710435|  PASSED  
       diehard_craps|   0|    200000|     100|0.03551368|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.04077085|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.04335323|  PASSED  
         sts_monobit|   1|    100000|     100|0.69977162|  PASSED  
            sts_runs|   2|    100000|     100|0.06074625|  PASSED  
          sts_serial|   1|    100000|     100|0.99835414|   WEAK   
          sts_serial|   2|    100000|     100|0.17998168|  PASSED  
          sts_serial|   3|    100000|     100|0.39318022|  PASSED  
          sts_serial|   3|    100000|     100|0.82410941|  PASSED  
          sts_serial|   4|    100000|     100|0.79208360|  PASSED  
          sts_serial|   4|    100000|     100|0.63670518|  PASSED  
          sts_serial|   5|    100000|     100|0.89358766|  PASSED  
          sts_serial|   5|    100000|     100|0.85263180|  PASSED  
          sts_serial|   6|    100000|     100|0.85217606|  PASSED  
          sts_serial|   6|    100000|     100|0.95095778|  PASSED  
          sts_serial|   7|    100000|     100|0.85235026|  PASSED  
          sts_serial|   7|    100000|     100|0.80865325|  PASSED  
          sts_serial|   8|    100000|     100|0.96974996|  PASSED  
          sts_serial|   8|    100000|     100|0.24696314|  PASSED  
          sts_serial|   9|    100000|     100|0.02544280|  PASSED  
          sts_serial|   9|    100000|     100|0.07908337|  PASSED  
          sts_serial|  10|    100000|     100|0.85124303|  PASSED  
          sts_serial|  10|    100000|     100|0.17690385|  PASSED  
          sts_serial|  11|    100000|     100|0.93733749|  PASSED  
          sts_serial|  11|    100000|     100|0.89016496|  PASSED  
          sts_serial|  12|    100000|     100|0.76126748|  PASSED  
          sts_serial|  12|    100000|     100|0.55624607|  PASSED  
          sts_serial|  13|    100000|     100|0.56352118|  PASSED  
          sts_serial|  13|    100000|     100|0.97595662|  PASSED  
          sts_serial|  14|    100000|     100|0.29762287|  PASSED  
          sts_serial|  14|    100000|     100|0.99517701|   WEAK   
          sts_serial|  15|    100000|     100|0.48724824|  PASSED  
          sts_serial|  15|    100000|     100|0.04183149|  PASSED  
          sts_serial|  16|    100000|     100|0.59182599|  PASSED  
          sts_serial|  16|    100000|     100|0.99336467|  PASSED  
         rgb_bitdist|   1|    100000|     100|0.00860888|  PASSED  
         rgb_bitdist|   2|    100000|     100|0.51752708|  PASSED  
         rgb_bitdist|   3|    100000|     100|0.14791580|  PASSED  
         rgb_bitdist|   4|    100000|     100|0.54461069|  PASSED  
         rgb_bitdist|   5|    100000|     100|0.71034571|  PASSED  
         rgb_bitdist|   6|    100000|     100|0.96608778|  PASSED  
         rgb_bitdist|   7|    100000|     100|0.51890609|  PASSED  
         rgb_bitdist|   8|    100000|     100|0.46619621|  PASSED  
         rgb_bitdist|   9|    100000|     100|0.41842720|  PASSED  
         rgb_bitdist|  10|    100000|     100|0.04030437|  PASSED  
         rgb_bitdist|  11|    100000|     100|0.49807061|  PASSED  
         rgb_bitdist|  12|    100000|     100|0.21272768|  PASSED  
rgb_minimum_distance|   2|     10000|    1000|0.65764244|  PASSED  
rgb_minimum_distance|   3|     10000|    1000|0.99143699|  PASSED  
rgb_minimum_distance|   4|     10000|    1000|0.06910981|  PASSED  
rgb_minimum_distance|   5|     10000|    1000|0.52856749|  PASSED  
    rgb_permutations|   2|    100000|     100|0.30260157|  PASSED  
    rgb_permutations|   3|    100000|     100|0.22159960|  PASSED  
    rgb_permutations|   4|    100000|     100|0.40365845|  PASSED  
