#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
 file_input_raw|                          testb3|  8.58e+06  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
      rgb_lagged_sum|  20|   1000000|     100|0.33651732|  PASSED  
      rgb_lagged_sum|  21|   1000000|     100|0.28787568|  PASSED  
      rgb_lagged_sum|  22|   1000000|     100|0.75150057|  PASSED  
      rgb_lagged_sum|  23|   1000000|     100|0.64139082|  PASSED  
      rgb_lagged_sum|  24|   1000000|     100|0.22703937|  PASSED  
      rgb_lagged_sum|  25|   1000000|     100|0.68816368|  PASSED  
      rgb_lagged_sum|  26|   1000000|     100|0.86495398|  PASSED  
      rgb_lagged_sum|  27|   1000000|     100|0.65453312|  PASSED  
      rgb_lagged_sum|  28|   1000000|     100|0.93225180|  PASSED  
      rgb_lagged_sum|  29|   1000000|     100|0.31282165|  PASSED  
      rgb_lagged_sum|  30|   1000000|     100|0.18791960|  PASSED  
      rgb_lagged_sum|  31|   1000000|     100|0.62889343|  PASSED  
      rgb_lagged_sum|  32|   1000000|     100|0.51810355|  PASSED  
     rgb_kstest_test|   0|     10000|    1000|0.47234624|  PASSED  
     dab_bytedistrib|   0|  51200000|       1|0.23130945|  PASSED  
             dab_dct| 256|     50000|       1|0.55417937|  PASSED  
Preparing to run test 207.  ntuple = 0
        dab_filltree|  32|  15000000|       1|0.24299124|  PASSED  
        dab_filltree|  32|  15000000|       1|0.29331624|  PASSED  
Preparing to run test 208.  ntuple = 0
       dab_filltree2|   0|   5000000|       1|0.04071525|  PASSED  
       dab_filltree2|   1|   5000000|       1|0.17899796|  PASSED  
Preparing to run test 209.  ntuple = 0
        dab_monobit2|  12|  65000000|       1|0.24586989|  PASSED  
